model,test,train
ARIMA,14.576791264004687,5.739422914289787
KNN,5.572093023255814,4.717977528089888
SGD,1457345417389.8118,1104733708501.4763
RandomForest,6.347131782945735,4.252535629164842
AdaBoost,5.648767525144514,5.101905004704933
GaussianProcess,6.734501583631649,4.085486120868767
LinearRegression,7.488926139497662,6.061262157253313
FNN,12.501184965434827,15.22897847125985
RNNSingle,10.881845976177015,18.112263718092372
