model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.5055555555555555,4.112328767123288
SGD,17390622145532.084,12910999195702.764
RandomForest,4.845370370370371,2.104315068493151
AdaBoost,5.097075287507243,4.529475058933512
GaussianProcess,34.99272271276244,0.3038708782001578
LinearRegression,6.241158743093163,5.57814052236285
FNN,12.960680890439162,13.59477611368957
RNNSingle,35.14484843923085,19.607319888337564
RNNMultiple,7.220383909013536,6.579705181187147
RNNAll,634.1941528320312,643.17712506856
