model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,4703132059459.645,3517846235000.028
RandomForest,4.478450534804703,4.304144279426813
AdaBoost,4.745006113345081,4.674861591013273
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.198722459377031,5.709526446940836
FNN,26.029101030150457,17.90710968090682
RNNSingle,21.209021440192835,16.45183668236284
RNNMultiple,2713.835423787435,2548.008221351937
RNNAll,3541.6880323621963,2637.924678018648
