model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,808072121303.6942,598047702856.5634
RandomForest,4.513957813020314,4.3329308267335485
AdaBoost,4.873323426731535,4.701788616928383
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.171810727243015,6.453473954696658
FNN,17.389124480771347,14.967569580602483
RNNSingle,15.548358111314371,33.66132456985945
RNNMultiple,4.9152547518412275,7.509603173765417
RNNAll,3351.1490139431426,2442.9648732224555
