model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,1782229182578.127,1330257255667.9812
RandomForest,4.5314293345543355,4.3498377975100375
AdaBoost,4.812009115607918,4.702151399695097
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.299767661239343,5.914282321014462
FNN,14.070205909618434,14.219457484446595
RNNSingle,20.61901977096779,16.50609995172098
RNNMultiple,12.263737148708767,21.950146214602746
RNNAll,2438.9667765299478,2193.947061408056
