model,test,train
ARIMA,12.447873593393119,9.606612990883377
KNN,6.982597415479906,5.935228976642885
SGD,15.0676731994749,13.013824786264127
RandomForest,7.228052407242216,5.491600686306719
AdaBoost,7.092299264327463,6.036350318816179
GaussianProcess,7.0588887280576955,6.570119749458343
RNNAll,11.49832735169584,10.31995964893308
LSTMAll,15.124504148229228,11.993003658906671
LinearRegression,7.05960259676637,6.298700306928736
FNN,6.94035806548314,6.697588719157876
RNNSingle,6.855889500473787,6.330687907450312
RNNMultiple,7.009341354471121,5.94230008669009
LSTMSingle,6.666265428277527,6.1610650492619765
LSTMMultiple,7.1672655092210675,7.035733593634798
