model,test,train
ARIMA,8.200354667676791,8.695149813751211
KNN,5.979799327736676,5.622973709109205
SGD,13.595338847506156,12.34973414927106
RandomForest,6.2957580406160245,5.360175388552462
AdaBoost,6.356939291658952,5.746106100534522
GaussianProcess,6.050776955407662,6.095212081849865
RNNAll,10.921710475137006,7.830743386787713
LSTMAll,12.62150876139674,9.99769774042669
LinearRegression,5.987451380485772,5.827148825582095
FNN,6.602723020926752,6.355772580076887
RNNSingle,5.66755046827324,5.868863938955323
RNNMultiple,6.233848060867453,5.929349837053476
LSTMSingle,5.931723860604809,5.6971487607317
LSTMMultiple,6.66792934802112,6.44915956910039
