model,test,train
ARIMA,25.17869859047608,9.571835642457483
KNN,7.318283454968981,5.971846828700025
SGD,14.849822457616787,13.243840627445032
RandomForest,7.724972490698255,5.547037139945634
AdaBoost,6.812923690237853,6.278552248862589
GaussianProcess,7.425368896620996,6.763676400808029
RNNAll,9.559405243321219,6.755410262720162
LSTMAll,14.33889360239425,11.962145998615513
LinearRegression,7.143312743620916,6.445776441046789
FNN,7.15651324583054,7.221845442974703
RNNSingle,8.018240076757088,6.807036078896867
RNNMultiple,7.098240668721422,6.898003863131226
LSTMSingle,7.527839341457761,7.772712324469834
LSTMMultiple,6.654718570402163,7.0244422710721475
