model,test,train
ARIMA,9.673560465667576,8.124120759243057
KNN,5.578629859661879,5.642694391866354
SGD,2322911266320.5425,1833884242958.1057
RandomForest,5.576592298660583,5.446329206269033
AdaBoost,5.927019533923506,5.7869568554624875
GaussianProcess,5.612064722788344,5.356656765250375
RNNAll,7.051076598455033,6.788291084032523
LSTMAll,14.340034537021458,5.9163891639669925
LinearRegression,5.438971408477053,6.161433391450894
FNN,16.56945498424049,19.46988999579019
RNNSingle,6.8853782117288755,7.038197822531819
RNNMultiple,5.694725669103973,6.215941388071314
LSTMSingle,5.620798252037735,6.901856847542892
LSTMMultiple,5.510889839601569,6.314496890664415
