model,test,train
ARIMA,14.877141727684872,10.954057073906084
KNN,8.005553627881639,6.2471179561955354
SGD,16.35279201074683,13.929824862542523
RandomForest,8.830491757772009,5.38504412363985
AdaBoost,8.22182852277703,6.384798146751732
GaussianProcess,8.13780107284734,6.908274569576214
RNNAll,9.652519598195957,6.801381125784212
LSTMAll,9.30044771374378,8.9997042033468
LinearRegression,7.672784613213244,6.591879544495105
FNN,7.80624243201085,7.0572722286714376
RNNSingle,8.340367019164107,6.966269947494691
RNNMultiple,7.063577733911664,6.193564280394996
LSTMSingle,7.383944833546657,6.404476460057783
LSTMMultiple,8.223293565384076,7.108238524521551
