model,test,train
ARIMA,9.673560465667576,8.124120759243057
KNN,5.578629859661879,5.642694391866354
SGD,1191357154670.6792,941520080940.1764
RandomForest,5.717390154218698,5.450642000518629
AdaBoost,5.863952227438506,5.796049564970079
GaussianProcess,5.612064722788344,5.356656765250375
RNNAll,6.805951706909332,6.853928993914783
LSTMAll,12.655056368591485,9.885426924451178
LinearRegression,5.446798249855244,6.165490816956274
FNN,22.776052192009118,18.911924447872888
RNNSingle,7.671263604750294,7.262366922564858
RNNMultiple,7.320255778706315,7.422607453199967
LSTMSingle,5.924918041944284,6.136089050325309
LSTMMultiple,5.728597168119374,7.473163450923238
