model,test,train
ARIMA,20.320050756838157,10.344775167432797
KNN,6.677424653262662,6.108460683794719
SGD,15.14750742865135,13.570254997426176
RandomForest,7.850275688806023,5.597830801329352
AdaBoost,7.316993675632302,6.306376334059252
GaussianProcess,7.370491045969973,6.8995143623666175
RNNAll,9.731021491143432,8.968085072968945
LSTMAll,10.72777026198552,10.260483671560792
LinearRegression,7.0429580057088135,6.509780867086679
FNN,8.0552696520884,7.643203689202831
RNNSingle,7.686685419269875,6.5748952610798925
RNNMultiple,6.371200443095109,6.07075651458525
LSTMSingle,6.8115828345465586,6.719146624791729
LSTMMultiple,6.571952745610855,6.781421521743187
