model,test,train
ARIMA,9.673560465667576,8.124120759243057
KNN,5.578629859661879,5.642694391866354
SGD,2748506637194.342,2168721054096.38
RandomForest,5.55739939781314,5.467036724459028
AdaBoost,5.858448469897125,5.841953788100357
GaussianProcess,5.612064722788344,5.356656765250375
RNNAll,6.408367698567638,6.560463763693214
LSTMAll,8.259589942349463,5.740218605215062
LinearRegression,5.52364819631106,5.693423462648143
FNN,24.35075325733848,18.979085056421553
RNNSingle,5.407248313578162,6.435045851952744
RNNMultiple,5.843807731988117,6.2951550472605105
LSTMSingle,6.32762004314968,5.835559716925793
LSTMMultiple,5.5879692068746305,5.70487809475697
