model,test,train
ARIMA,9.673560465667576,8.124120759243057
KNN,5.578629859661879,5.642694391866354
SGD,2486432617966.8125,1962403696817.2656
RandomForest,5.669696341749153,5.431549453390042
AdaBoost,5.655072231161165,5.91746099273965
GaussianProcess,5.612064722788344,5.356656765250375
RNNAll,5.934318453019677,6.216960676473733
LSTMAll,9.414362502871107,7.324345662581221
LinearRegression,5.52364819631106,5.693423462648143
FNN,20.09506484515489,17.841114477404393
RNNSingle,5.219192689839099,6.141550850417932
RNNMultiple,6.440896641990956,6.6388340047454415
LSTMSingle,7.698071153860874,6.002686194688627
LSTMMultiple,5.8353510206805685,5.632813278954491
