model,test,train
ARIMA,9.561674442203273,9.028408846755486
KNN,6.197191717639949,5.837760224987357
SGD,14.516796842758152,12.694595951242343
RandomForest,6.554902146632922,5.521606176415225
AdaBoost,6.4021083311924025,6.2311336209734955
GaussianProcess,6.554811037491246,6.406921657474216
RNNAll,11.794551278802158,8.45190219519057
LSTMAll,12.701398186788555,10.244945940742861
LinearRegression,6.564460209399076,5.9850081085614555
FNN,7.228010283832771,6.46794131714544
RNNSingle,6.277758213752305,6.262907965522554
RNNMultiple,6.658566823826485,6.0242892891120965
LSTMSingle,7.04530081590086,6.0848701511937575
LSTMMultiple,6.097885273006054,6.510160460596618
